trip_id,arrival_time,departure_time,stop_id,sequence,pickup_type,drop_off_type
1076988,6:47:00,6:47:00,3193,40,0,0
1076989,6:17:00,6:17:00,3193,40,0,0
1076990,5:47:00,5:47:00,3193,40,0,0
1076991,15:36:00,15:36:00,3193,40,0,0
1077026,21:20:00,21:20:00,3193,40,0,0
1077027,20:20:00,20:20:00,3193,40,0,0
1077028,19:20:00,19:20:00,3193,40,0,0
1077029,18:35:00,18:35:00,3193,40,0,0
1077030,17:50:00,17:50:00,3193,40,0,0
1077031,17:05:00,17:05:00,3193,40,0,0
1077032,16:20:00,16:20:00,3193,40,0,0
1077033,15:35:00,15:35:00,3193,40,0,0
1077034,14:50:00,14:50:00,3193,40,0,0
1077035,14:05:00,14:05:00,3193,40,0,0
1077036,13:20:00,13:20:00,3193,40,0,0
1077037,12:35:00,12:35:00,3193,40,0,0
1077038,11:50:00,11:50:00,3193,40,0,0
1077039,11:05:00,11:05:00,3193,40,0,0
1077040,10:20:00,10:20:00,3193,40,0,0
1077041,9:35:00,9:35:00,3193,40,0,0
1077042,8:50:00,8:50:00,3193,40,0,0
1077043,7:50:00,7:50:00,3193,40,0,0
1077044,6:50:00,6:50:00,3193,40,0,0
1077064,21:50:00,21:50:00,3193,40,0,0
1077065,20:50:00,20:50:00,3193,40,0,0
1077066,19:50:00,19:50:00,3193,40,0,0
1077067,18:50:00,18:50:00,3193,40,0,0
1077068,18:05:00,18:05:00,3193,40,0,0
1077069,17:20:00,17:20:00,3193,40,0,0
1077070,16:35:00,16:35:00,3193,40,0,0
1077071,15:50:00,15:50:00,3193,40,0,0
1077072,15:05:00,15:05:00,3193,40,0,0
1077073,14:20:00,14:20:00,3193,40,0,0
1077074,13:35:00,13:35:00,3193,40,0,0
1077075,12:50:00,12:50:00,3193,40,0,0
1077076,12:05:00,12:05:00,3193,40,0,0
1077077,11:20:00,11:20:00,3193,40,0,0
1077078,10:35:00,10:35:00,3193,40,0,0
1077079,9:50:00,9:50:00,3193,40,0,0
1077080,8:50:00,8:50:00,3193,40,0,0
1077081,7:50:00,7:50:00,3193,40,0,0
1077403,21:03:00,21:03:00,3193,17,0,0
1077404,20:03:00,20:03:00,3193,17,0,0
1077405,20:33:00,20:33:00,3193,17,0,0
1077406,19:33:00,19:33:00,3193,17,0,0
1077407,19:03:00,19:03:00,3193,17,0,0
1077408,18:33:00,18:33:00,3193,17,0,0
1077409,18:03:00,18:03:00,3193,17,0,0
1077410,17:33:00,17:33:00,3193,17,0,0
1077411,17:03:00,17:03:00,3193,17,0,0
1077412,16:33:00,16:33:00,3193,17,0,0
1077413,16:03:00,16:03:00,3193,17,0,0
1077414,15:33:00,15:33:00,3193,17,0,0
1077415,15:03:00,15:03:00,3193,17,0,0
1077416,14:33:00,14:33:00,3193,17,0,0
1077417,14:03:00,14:03:00,3193,17,0,0
1077418,13:33:00,13:33:00,3193,17,0,0
1077419,13:03:00,13:03:00,3193,17,0,0
